intervention,horizon_months,district_id,n_employees,expected_exits_before,expected_exits_after,exits_avoided,reduction_pct
pay floor at 95% of market,6,D00,211,54.8,54.4,0.4,0.8
pay floor at 95% of market,6,D01,174,48.4,47.7,0.7,1.5
pay floor at 95% of market,6,D02,141,39.9,39.5,0.3,0.9
pay floor at 95% of market,6,D03,199,55.1,54.2,0.9,1.6
pay floor at 95% of market,6,D04,259,71.2,70.4,0.8,1.1
pay floor at 95% of market,6,D05,217,61.1,60.8,0.3,0.5
pay floor at 95% of market,6,D06,266,77.7,77.5,0.2,0.3
pay floor at 95% of market,6,D07,140,37.7,37.1,0.6,1.6
pay floor at 95% of market,6,D08,187,57.6,57.4,0.2,0.4
pay floor at 95% of market,6,D09,237,74.0,73.1,0.9,1.3
pay floor at 95% of market,6,D10,171,50.5,50.4,0.1,0.2
pay floor at 95% of market,6,D11,170,42.4,42.1,0.3,0.8
pay floor at 95% of market,6,ALL,2372,670.5,664.6,5.8,0.9
cap schedule volatility at median,6,D00,211,54.8,54.4,0.4,0.7
cap schedule volatility at median,6,D01,174,48.4,47.4,1.0,2.1
cap schedule volatility at median,6,D02,141,39.9,39.3,0.6,1.6
cap schedule volatility at median,6,D03,199,55.1,54.7,0.4,0.8
cap schedule volatility at median,6,D04,259,71.2,70.0,1.2,1.7
cap schedule volatility at median,6,D05,217,61.1,60.0,1.1,1.8
cap schedule volatility at median,6,D06,266,77.7,76.8,0.9,1.2
cap schedule volatility at median,6,D07,140,37.7,36.8,0.9,2.5
cap schedule volatility at median,6,D08,187,57.6,57.5,0.1,0.2
cap schedule volatility at median,6,D09,237,74.0,73.4,0.6,0.8
cap schedule volatility at median,6,D10,171,50.5,49.5,1.0,1.9
cap schedule volatility at median,6,D11,170,42.4,41.6,0.8,2.0
cap schedule volatility at median,6,ALL,2372,670.5,661.4,9.1,1.4
schedule people their desired hours,6,D00,211,54.8,53.1,1.7,3.1
schedule people their desired hours,6,D01,174,48.4,47.1,1.4,2.8
schedule people their desired hours,6,D02,141,39.9,38.8,1.1,2.8
schedule people their desired hours,6,D03,199,55.1,52.4,2.7,4.9
schedule people their desired hours,6,D04,259,71.2,68.7,2.5,3.5
schedule people their desired hours,6,D05,217,61.1,58.4,2.7,4.4
schedule people their desired hours,6,D06,266,77.7,76.9,0.8,1.0
schedule people their desired hours,6,D07,140,37.7,36.4,1.3,3.5
schedule people their desired hours,6,D08,187,57.6,54.3,3.4,5.8
schedule people their desired hours,6,D09,237,74.0,69.2,4.8,6.5
schedule people their desired hours,6,D10,171,50.5,48.3,2.1,4.2
schedule people their desired hours,6,D11,170,42.4,40.9,1.5,3.5
schedule people their desired hours,6,ALL,2372,670.5,644.5,26.0,3.9
